Título|Autor|Categorias|Data de publicação|Editora|Páginas|ISBN|Lido|Período de leitura|Comentários|Sumário|Caminho da capa|imagem
A esperanc̦a|Suzanne Collins|Contests|2011|French and European Publications Inc|421|9788579800863|Não|||Depois de sobreviver duas vezes à crueldade de uma arena projetada para destruí-la, Katniss acreditava que não precisaria mais lutar. Mas as regras do jogo mudaram - com a chegada dos rebeldes do lendário Distrito 13, enfim é possível organizar uma resistência. Começou a revolução. A coragem de Katniss nos jogos fez nascer a esperança em um país disposto a fazer de tudo para se livrar da opressão. E agora, contra a própria vontade, ela precisa assumir seu lugar como símbolo da causa rebelde. Ela precisa virar o Tordo. O sucesso da revolução dependerá de Katniss aceitar ou não essa responsabilidade.|/MyLibrary/Images/Books/8.png|s8.png
A Estratégia Do Oceano Azul|W. Chan Kim|Business & Economics|2005|Elsevier Brasil|241|9788535215243|Não|||Apresenta o conceito de oceano azul, o espaço do mercado desconhecido, e esboça suas principais características. Avalia as consequências do lucro e crescimento, e discute porque sua criação é um imperativo crescente para empresas no futuro. Inclui exemplos de empresas da Europa, Ásia e Estados Unidos.|/MyLibrary/Images/Books/198.png|198.png
A ESTRUTURA DA MAGIA|RICHARD BANDLER||1980|LTC|272|9788521612544|Não|||Este livro foi projetado para oferecer ao leitor um instrumental explícito que irá ajudá-lo a tornar-se um terapeuta mais eficiente. O capítulo 1 mostra que nós não operamos diretamente no mundo em que vivemos, mas, ao contrário, criamos modelos ou mapas do mundo e utilizamos estes mapas para guiar nosso comportamento. Afirma ainda que a terapia efetiva implica alguma alteração no modo como um paciente representa sua experiência.|/MyLibrary/Images/Books/121.png|121.png
A FASCINANTE CONSTRUÇAO DO EU|AUGUSTO CURY||01/01/2014|Academia de Inteligencia|192|9788542203240|Não|||Quem pode controlar todos os fenômenos de existência? Ninguém! Mal conseguimos controlar as variáveis que nos envolvem, como o tempo, emoções, pensamentos, motivações. Quem tem um Eu plenamente saudável? Quem está preparado para todos os eventos da vida? Ninguém! Quem acha que está preparado é porque está atravessando um período de bonança, saúde, heroísmo. Desconhece o labirinto da existência. Uma coisa é certa - tudo é incerto; há curvas imprevisíveis em toda trajetória existencial. Ricos e miseráveis, intelectuais e iletrados, são todos espectadores de um mundo que não dominam completamente. Numa existencia pautada por suspresas, procurar dentro de certos limites ser autor de nossa história é fundamental para a saúde psísquica.|/MyLibrary/Images/Books/85.png|85.png
A Hora da Geração Digital|Don Tapscott||01/01/2010|Agir Editora|448|9788522011391|Não|||A hora da geração digital' é uma investigação do universo digital da tecnologia do século XXI. O autor Dan Tapscott entrevistou cerca de 10 mil jovens e, no lugar de um bando de gente grudada em telas com pouca capacidade de concentração e sem habilidades sociais, ele descobriu uma comunidade que desenvolveu novas formas de pensar, interagir, trabalhar e socializar. Com base em suas descobertas, o autor revela neste livro como o cérebro da 'Geração Internet' processa informações e como os jovens e a internet estão transformando a democracia.|/MyLibrary/Images/Books/218.png|218.png
A Ilusão de Ícaro (Em Portuguese do Brasil)|Seth Godin||2013|Elsevier|0|9788535272451|Não||||https://images-na.ssl-images-amazon.com/images/I/51uXTtxNCyL.jpg|CyL.jpg
A JORNADA DO ESCRITOR|CHRISTOPHER VOGLER||11/06/2015|Aleph|488|9788576572176|Não|||"Em 1949, no clássico ""O herói de mil faces"", o estudioso Joseph Campbell conceituou a chamada Jornada do Herói: uma estrutura presente nos mitos e replicada em todas as boas histórias já contadas e recontadas pela humanidade. Em ""A Jornada do Escritor"", Christopher Vogler faz uma detalhada e esclarecedora análise desse conceito, tomando como base diversos filmes importantes. Resultado de anos de estudo sobre mitos e arquétipos, somados à experiência de Vogler na indústria cinematográfica norte-americana, esta edição, revisada pelo autor, é uma obra de referência fundamental não apenas para quem deseja escrever boas histórias - bebendo da fonte dos mais belos e fascinantes mitos já criados pela mente humana -, como para quem quer entendê-las melhor, relacionando-as à própria vida."|/MyLibrary/Images/Books/173.png|173.png
A meta: um processo de melhoria contínua|Eliyahu M. Goldratt||2006|NBL Editora|365|9788521312369|Não|||Escrita em forma de romance, esta obra trata dos princípios de funcionamento de uma indústria, questionando o porquê de ela funcionar de determinada forma e como seria possível solucionar os problemas de empresas que estão com atrasos na produção e baixa receita. Com resultados alcançados na prática, o processo de melhoria contínua desenvolvido por Goldratt pode ser aplicado em outras organizações, como bancos, hospitais, seguradoras, e até no ambiente familiar. Nova edição revista e trazendo o texto 'Minha Saga', a história da vida de Eliyahu M. Goldratt.|/MyLibrary/Images/Books/75.png|75.png
A quinta disciplina|Peter M. Senge||2009|Best Seller|530|9788576843719|Não|||Desenvolve um amplo leque de ferramentas que visam estimular o trabalho em equipe, a criatividade, a habilidade em encarar desafios e adaptar-se continuamente às mudanças. Propõe um pensamento sistêmico, que integra todos os compartimentos do saber e da prática. Mostra como desenvolver essa integração disciplinar em todos os níveis da empresa, rompendo com estruturas antigas e fazendo com que os envolvidos se comprometam verdadeiramente em criar os resultados desejados.|/MyLibrary/Images/Books/163.png|163.png
A REVOLUÇAO DAS MIDIAS SOCIAIS|ANDRE TELLES||01/01/2010|M. Books|200|9788576800958|Não|||Este livro visa a auxiliar o leitor a tirar proveito das mídias sociais, individualmente e em conjunto. Para isso, o autor apresenta os diferentes tipos de mídias sociais de acordo com o foco de atuação. Sumário - Sites de Compartilhamento de Vídeos; Áudio - Podcasting; Compartilhamento de Fotos; Microblogging; Sites de Relacionamento Social; Social Games; Media Sharing - Compartilhamento de Apresentações; Social Bookmarking; Agregadores; Life Casting - Streaming; Social Media Optimization (SMO); Campanhas em Mídias Sociais - Cases; A Palavra Marketing Vem antes da Palavra Digital; O Marketing Político e as Mídias Sociais; Referências Digitais no Brasil e em Portugal; Dicas Finais.|/MyLibrary/Images/Books/90.png|90.png
A TRIADE DO TEMPO|CHRISTIAN BARBOSA||01/01/2011|Sextante|256|9788575427248|Não|||Neste livro, Christian Barbosa oferece uma possível solução para quem deseja uma vida mais equilibrada, voltada para a realização dos seus sonhos. Com base em uma pesquisa realizada com mais de 42 mil pessoas em todo o mundo, ele apresenta um método de planejamento pessoal que pode ajudar o leitor a organizar sua vida e se tornar mais produtivo. A partir do conceito de que o tempo se divide em três esferas - importante, urgente e circunstancial -, o autor ensina como equilibrá-las para melhorar o desempenho e como agir caso se esteja desperdiçando energia demais na esfera errada. A obra traz ferramentas que podem ser colocadas em prática tanto por quem utiliza agendas convencionais quanto por quem prefere soluções tecnológicas.|/MyLibrary/Images/Books/117.png|117.png
ABUNDANCIA|STEVEN KOTLER|Business & Economics|14/04/2016|HSM|424|9788565482165|Não|||"""Abundância - O Futuro É Melhor do que Você Imagina"" documenta como o progresso nas áreas de inteligência artificial, robótica, manufatura digital, nanomateriais, biologia sintética e muitas outras tecnologias de crescimento exponencial permitirão que tenhamos, nas próximas duas décadas, ganhos maiores que os dos dois últimos séculos. Logo poderemos suprir todas as necessidades de cada homem, mulher e criança do planeta. A abundância universal está ao nosso alcance. Os autores apresentam dúzias de inovações e empreendedores que têm dado passos largos em áreas específicas. Nesse incrível antídoto contra o pessimismo atual, os autores exploram como quatro forças emergentes - tecnologias exponenciais, inovadores que seguem a filosofia faça-você-mesmo, tecnofilantropos e o bilhão ascendente - conspiram para resolver os maiores problemas da humanidade."|/MyLibrary/Images/Books/26.png|26.png
ACCOUNTABILITY|JOAO CORDEIRO||2013|Évora|0|9788563993717|Não||||/MyLibrary/Images/Books/120.png|120.png
